sentence,clause
"Cecil W. Kenyon, one of America's first female aviators, died last Thursday, of complications from a stroke, at Middlesex Memorial Hospital in Middletown, Conn. She was 80 years old and lived in Lyme, Conn. Mrs. Kenyon, a contemporary of Amelia Earhart, dazzled crowds at Roosevelt Field on Long Island in 1933 with her intricate maneuvers.", one of America's first female aviators
"Andrew Kalmykow 2d, assistant general counsel and vice president of the American Insurance Association and an authority on workers' compensation laws, died of a heart attack Friday night at La Guardia Airport on his return from a trip to Dallas.", assistant general counsel and vice president of the American Insurance Association and an authority on workers' compensation laws
"Dr. John MacLeod, a leader in the study of infertility in men, died Tuesday at New York Hospital.", a leader in the study of infertility in men
"Patrick Nagel, whose Art Deco renditions of female figures appeared in Playboy magazine for nearly a decade, died of a heart attack Saturday after exercising at a fund-raiser for the American Heart Association.", whose Art Deco renditions of female figures appeared in Playboy magazine for nearly a decade
"Henry Clay Ward, a former president of Holmes Protection Inc., a private security concern, died Friday at North Shore University Hospital in Manhasset, L.I.", a former president of Holmes Protection Inc.
"Claude Hopkins, a pianist who led one of the most popular big bands to come out of Harlem in the 1930's, died Sunday at Park View Nursing Home in Riverdale, where he had been a patient for the last three years.", a pianist who led one of the most popular big bands to come out of Harlem in the 1930's
"ST. PETERSBURG, Fla., Jan. 8 Tom C. Harris, former executive editor of The St. Petersburg Times and former editor of El Mundo, a large Spanish-language newspaper in Puerto Rico, died at his home here Monday after a long illness.", Fla.
"Dr. Harold Feldman, former dean and vice president for financial affairs at Fairleigh Dickinson University, died of a heart attack Wednesday on his way home from a business appointment.", former dean and vice president for financial affairs at Fairleigh Dickinson University
"Walter T. Margetts Jr., a former New Jersey State Treasurer, died yesterday in Morristown (N.J.) Memorial Hospital.", a former New Jersey State Treasurer
"Dr. Paul Magnus Gross, a specialist in physical inorganic and fluorine chemistry, university administrator and government consultant in education and science, died Sunday at Duke University in Durham, N.C.", a specialist in physical inorganic and fluorine chemistry
"Harold R. Boulware, a lawyer and civil rights pioneer who played a key role in the Supreme Court's 1954 landmark decision banning school segregation, died Thursday of cancer.", a lawyer and civil rights pioneer who played a key role in the Supreme Court's 1954 landmark decision banning school segregation
"Allan Mitchell (Al) Robbins, a video artist who showed his work at the Whitney Museum and Anthology Film Archives here as well as at museums abroad, died of a heart attack Feb. 8 in San Francisco.", a video artist who showed his work at the Whitney Museum and Anthology Film Archives here as well as at museums abroad
"Shirley Brand Konheim, a dress manufacturer and designer who specialized in fashions for young teen-age girls, died Friday at her home in Manhattan after a brief illness.", a dress manufacturer and designer who specialized in fashions for young teen-age girls
"Dr. Sidney M. Greenberg, a physician at La Guardia Hospital in Forest Hills, Queens, and longtime member of its executive medical committee, died of a stroke Saturday at his home in Old Westbury, L.I.", a physician at La Guardia Hospital in Forest Hills
"Charles Schuveldt Dewey Sr., a former Congressman from Illinois and government financial adviser, died today of pneumonia.", a former Congressman from Illinois and government financial adviser
"Curtis G. Benjamin, who spent a 38-year publishing career with the McGraw-Hill Book Company before retiring as its chairman in 1966, died Saturday at Norwalk (Conn.) Hospital.", who spent a 38-year publishing career with the McGraw-Hill Book Company before retiring as its chairman in 1966
"Fritz Bultman, an Abstract Expressionist painter and sculptor, died Saturday at his home in Provincetown, Mass., after a long illness.", an Abstract Expressionist painter and sculptor
"Dr. Isidore S. Falk, professor emeritus of public health at the Yale University School of Medicine and a longtime champion of Federal health insurance, died of a stroke last Thursday at Yale- New Haven Hospital.", professor emeritus of public health at the Yale University School of Medicine and a longtime champion of Federal health insurance
"Joseph Polser, press secretary to Manfred Ohrenstein, the New York State Senate minority leader, died Friday, apparently of a heart attack, at his home in the Riverdale section of the Bronx.", press secretary to Manfred Ohrenstein
"Frances Cole, a harpsichordist and teacher, died in her New York apartment Monday afternoon after a long illness.", a harpsichordist and teacher
"Harry Roskolenko, a writer and poet, died of cancer Thursday at Beth Israel Hospital.", a writer and poet
"John Lamarsh, head of the nuclear engineering department at the Polytechnic Institute of New York, died of a heart attack Sunday at his home in Larchmont, N.Y.", head of the nuclear engineering department at the Polytechnic Institute of New York
"Diana Dors, the actress who was once described as Britain's answer to Marilyn Monroe, died of cancer today at Princess Margaret Hospital.", the actress who was once described as Britain's answer to Marilyn Monroe
"Burt Shevelove, the co-author with Larry Gelbart of the book for the 1962 hit musical ''A Funny Thing Happened on the Way to the Forum'' and the director of the popular 1971 revival of ''No, No, Nanette,'' died yesterday in his apartment in London, where he had lived for some 15 years.", the co-author with Larry Gelbart of the book for the 1962 hit musical ''A Funny Thing Happened on the Way to the Forum'' and the director of the popular 1971 revival of ''No
